Gene stable ID	Gene start (bp)	Gene end (bp)	Gene name	Strand	Chromosome/scaffold name
ENSMUSG00000080668	60293672	60293772	Gm24999	1	13
ENSMUSG00000088448	97371034	97371113	Gm23558	-1	12
ENSMUSG00000064409	79692502	79692625	n-R5s40	1	15
ENSMUSG00000064766	11427385	11427512	Gm26458	-1	11
ENSMUSG00000098351	74764798	74764890	Gm27507	1	1
ENSMUSG00000094801	123560888	123561006	n-R5s113	-1	8
ENSMUSG00000065422	19146294	19146388	Mir221	-1	X
ENSMUSG00000095059	110597616	110597722	Gm25670	-1	14
ENSMUSG00000088820	109689477	109689544	Gm25224	1	12
ENSMUSG00000087992	113776182	113776298	Gm25059	-1	9
ENSMUSG00000089078	75561046	75561150	Gm24502	-1	5
ENSMUSG00000084742	6144732	6144851	n-R5s19	1	19
ENSMUSG00000076253	35194811	35194897	Mir680-3	-1	12
ENSMUSG00000094710	41247686	41247792	Gm22823	1	14
ENSMUSG00000077392	5687677	5687802	Gm24337	-1	4
ENSMUSG00000098849	25679415	25679520	Gm27892	-1	X
ENSMUSG00000088661	4904673	4904782	Gm25334	1	19
ENSMUSG00000066620	30709736	30710263	Gm4883	1	7
ENSMUSG00000065604	31063023	31063093	Mir29b-1	-1	6
ENSMUSG00000080601	67053679	67053792	Gm23841	-1	5
ENSMUSG00000088126	30476407	30476518	Gm22870	1	18
ENSMUSG00000084612	49879307	49879394	n-R5s6	1	X
ENSMUSG00000094150	59726161	59726254	Gm23265	-1	7
ENSMUSG00000088710	127046912	127047082	Gm22730	1	8
ENSMUSG00000092765	32318265	32318343	Gm23363	1	2
ENSMUSG00000089187	49573214	49573318	Gm22949	-1	14
ENSMUSG00000076337	16645438	16645538	Gm24714	-1	11
ENSMUSG00000088002	77393104	77393202	Gm24775	1	12
ENSMUSG00000087909	38898360	38898587	Gm22035	-1	13
ENSMUSG00000064926	79014364	79014470	Gm22044	-1	8
ENSMUSG00000105118	60774329	60774397	Mir3084-2	-1	19
ENSMUSG00000088623	92302174	92302292	Gm23031	1	5
ENSMUSG00000076387	24592114	24592211	Mir671	1	5
ENSMUSG00000098414	79531029	79531090	Mir6909	-1	10
ENSMUSG00000093900	10496497	10496583	Mir669p-2	1	2
ENSMUSG00000077971	5997455	5997551	Gm26259	-1	13
ENSMUSG00000076959	10468971	10469068	Mir669l	1	2
ENSMUSG00000077518	181662306	181662412	Gm25879	1	2
ENSMUSG00000088283	88614527	88614610	Gm23587	-1	16
ENSMUSG00000065055	82635013	82635110	n-R5s213	1	1
ENSMUSG00000065203	8429158	8429264	Gm24614	1	3
ENSMUSG00000089037	109623008	109623137	Gm22159	-1	1
ENSMUSG00000077246	35975330	35975464	Gm23273	1	6
ENSMUSG00000094218	59766611	59766704	Gm23446	-1	7
ENSMUSG00000089066	82439414	82439474	Gm22836	-1	9
ENSMUSG00000095272	151700202	151700308	Gm24242	-1	5
ENSMUSG00000087777	33088646	33088749	Gm22321	-1	6
ENSMUSG00000076450	50357785	50357879	Mir804	-1	11
ENSMUSG00000089083	124741225	124741286	Rnu7	-1	6
ENSMUSG00000077224	106766030	106766156	Gm23437	1	14
ENSMUSG00000077481	123933718	123933845	Gm25272	1	14
ENSMUSG00000096142	32917146	32917266	Gm25817	1	7
ENSMUSG00000093937	87888456	87888587	Gm25528	-1	9
ENSMUSG00000064762	68182532	68182702	Gm23738	1	4
ENSMUSG00000087908	102953415	102953548	Gm22034	-1	1
ENSMUSG00000094041	72541480	72541580	Gm28019	-1	8
ENSMUSG00000095422	90054409	90054515	Gm24415	-1	15
ENSMUSG00000096804	34188878	34188939	Gm23411	-1	18
ENSMUSG00000065635	56263165	56263240	Gm24253	-1	11
ENSMUSG00000092644	84893087	84893153	Gm23564	1	11
ENSMUSG00000080545	123391114	123391243	Gm22713	-1	3
ENSMUSG00000092671	111041948	111042024	Gm24103	-1	8
ENSMUSG00000064916	155720040	155720141	Gm22573	-1	4
ENSMUSG00000088472	123808105	123808221	Gm23079	-1	6
ENSMUSG00000077537	76021929	76022055	Gm22544	-1	8
ENSMUSG00000088146	96150837	96150972	Gm24718	-1	X
ENSMUSG00000099247	78525989	78526110	Gm27541	1	10
ENSMUSG00000070209	44641025	44641143	n-R5s27	-1	17
ENSMUSG00000070072	109591715	109591838	Mir433	1	12
ENSMUSG00000098788	32758202	32758310	Gm27342	1	13
ENSMUSG00000065716	169695781	169695899	Gm25651	-1	X
ENSMUSG00000094086	4371269	4371335	Gm23992	-1	9
ENSMUSG00000088988	64048496	64048590	Gm25606	1	9
ENSMUSG00000064889	94284496	94284652	Gm24200	1	9
ENSMUSG00000076143	96249424	96249532	Mir708	1	7
ENSMUSG00000065733	106649913	106650019	Gm24491	-1	X
ENSMUSG00000076033	74407065	74407173	Mir692-3	1	13
ENSMUSG00000064621	109654627	109654698	Gm26922	1	12
ENSMUSG00000095198	10483678	10483760	Mir467a-3	1	2
ENSMUSG00000096835	10490167	10490287	Gm23288	1	2
ENSMUSG00000088069	46118180	46118446	Gm23250	1	4
ENSMUSG00000099003	136105522	136105603	Mir7035	1	5
ENSMUSG00000096241	107756602	107756708	Gm24267	-1	1
ENSMUSG00000104914	130908268	130908335	Mir7061	1	7
ENSMUSG00000095023	79909195	79909301	Gm24019	1	10
ENSMUSG00000089190	122553173	122553316	Gm25771	1	1
ENSMUSG00000070080	109590447	109590537	Mir431	1	12
ENSMUSG00000084653	104601158	104601239	Gm26091	-1	3
ENSMUSG00000106147	40258467	40258679	Rnu3a	1	10
ENSMUSG00000076127	74023849	74023936	Mir718	-1	X
ENSMUSG00000098757	89298442	89298583	Gm27313	-1	12
ENSMUSG00000088394	56725073	56725237	Gm26312	1	X
ENSMUSG00000065111	102627779	102627885	Gm25141	-1	15
ENSMUSG00000088242	31858458	31858592	Gm25913	1	12
ENSMUSG00000087800	165270046	165270176	Gm25569	-1	2
ENSMUSG00000096298	13604999	13605107	Gm23931	-1	19
ENSMUSG00000089485	89136505	89136766	Gm24734	-1	11
ENSMUSG00000076382	111194964	111195045	Gm23193	1	8
ENSMUSG00000065431	157544279	157544349	Mir186	1	3
ENSMUSG00000095691	59902213	59902306	Snord116l11	-1	7
ENSMUSG00000077761	168882040	168882168	Gm25214	-1	2
ENSMUSG00000080683	44250450	44250542	Gm23991	1	7
ENSMUSG00000077400	92527578	92527708	Gm25417	-1	9
ENSMUSG00000065583	35616816	35616925	Mir218-2	1	11
ENSMUSG00000084642	63909082	63909156	Gm24384	-1	18
ENSMUSG00000080419	128522689	128522809	Gm26475	-1	X
ENSMUSG00000088200	126634539	126634687	Gm23753	-1	2
ENSMUSG00000084604	109688055	109688125	Gm22205	1	12
ENSMUSG00000089139	29773294	29773376	Mir1964	1	7
ENSMUSG00000077277	19355001	19355107	Gm22783	1	X
ENSMUSG00000094363	10486946	10487068	Gm26060	1	2
ENSMUSG00000098710	70895508	70895570	Mir7067	-1	8
ENSMUSG00000065477	109710175	109710256	Mir411	1	12
ENSMUSG00000088519	3474285	3474401	Gm24439	-1	11
ENSMUSG00000087759	100738452	100738713	Gm23465	-1	3
ENSMUSG00000104856	87448627	87448841	Rnu3b3	1	11
ENSMUSG00000098378	74270247	74270436	Gm27864	1	8
ENSMUSG00000089441	25687801	25687906	Gm22527	1	12
ENSMUSG00000064451	110046364	110046547	Snora23	1	7
ENSMUSG00000077188	159139361	159139492	Gm25090	1	2
ENSMUSG00000088022	28446861	28447148	Gm49799	1	17
ENSMUSG00000094438	59568964	59569042	Gm23618	-1	7
ENSMUSG00000096868	59799444	59799537	Gm22258	-1	7
ENSMUSG00000096113	10488887	10488974	Mir466b-5	1	2
ENSMUSG00000065074	21901732	21901838	Gm24535	-1	X
ENSMUSG00000089147	82152720	82152782	Gm25267	-1	8
ENSMUSG00000076190	42958351	42958460	Gm23256	1	7
ENSMUSG00000088954	51799920	51800352	Gm24943	1	4
ENSMUSG00000088416	120717500	120717754	Gm24239	-1	8
ENSMUSG00000084487	109684962	109685034	Gm23787	1	12
ENSMUSG00000094515	15819909	15820029	Gm24567	1	4
ENSMUSG00000093572	59337051	59337146	Gm24756	-1	11
ENSMUSG00000084739	81592093	81592199	Gm22067	1	15
ENSMUSG00000064853	35162563	35162696	Gm23442	-1	17
ENSMUSG00000098991	107851745	107851856	Gm27595	1	11
ENSMUSG00000093093	89302478	89302729	Gm22642	1	3
ENSMUSG00000065608	85706603	85706697	Mirlet7c-2	1	15
ENSMUSG00000098357	114513635	114513694	Mir7094-2	-1	12
ENSMUSG00000104858	109595327	109595388	Mir136	1	12
ENSMUSG00000089234	12356153	12356469	Gm22207	1	8
ENSMUSG00000077207	137215544	137215647	Gm25609	-1	1
ENSMUSG00000088895	71794188	71794365	Gm22519	1	15
ENSMUSG00000070103	158505625	158505733	Mir488	1	1
ENSMUSG00000088903	139196065	139196231	Gm25434	-1	6
ENSMUSG00000089008	90228899	90228962	Gm23859	1	18
ENSMUSG00000106439	136798262	136798378	Gm44327	-1	3
ENSMUSG00000095986	35524543	35524638	Gm23053	-1	6
ENSMUSG00000099165	112733322	112733391	Mir6940	1	12
ENSMUSG00000088517	36321481	36321584	Gm24437	1	16
ENSMUSG00000065514	138165737	138165818	Mir106b	-1	5
ENSMUSG00000098827	98238618	98238695	Gm27399	1	11
ENSMUSG00000089608	44732353	44732467	Gm22503	1	10
ENSMUSG00000095233	32820693	32820799	Gm26378	1	18
ENSMUSG00000105109	23534114	23534254	Gm44297	-1	13
ENSMUSG00000104783	24014655	24014759	Gm44381	1	11
ENSMUSG00000098253	68260920	68260973	Mir7219	-1	18
ENSMUSG00000084469	138219737	138219816	Gm22956	1	5
ENSMUSG00000092935	42301890	42301952	Gm22697	1	18
ENSMUSG00000098928	6051334	6051392	Mir6988	1	19
ENSMUSG00000096523	83675342	83675449	Gm25729	-1	Y
ENSMUSG00000087718	110904795	110904900	Gm22236	-1	10
ENSMUSG00000092956	29396617	29396705	Gm26220	1	6
ENSMUSG00000077565	167064998	167065086	Gm23201	1	2
ENSMUSG00000089580	24316730	24316852	Gm23340	-1	13
ENSMUSG00000064769	35387933	35388085	Gm23518	-1	16
ENSMUSG00000089206	105945554	105945660	Gm26214	1	1
ENSMUSG00000093223	79594668	79594793	Gm27903	-1	15
ENSMUSG00000077416	75759859	75759989	Gm23747	1	15
ENSMUSG00000087870	128771170	128771296	Gm26100	1	8
ENSMUSG00000077780	126818016	126818145	Gm24161	-1	4
ENSMUSG00000094621	13262	13382	CAAA01098150.1	-1	GL456372.1
ENSMUSG00000089091	103832513	103832578	Gm25656	-1	6
ENSMUSG00000092748	113425150	113425227	Gm22175	-1	12
ENSMUSG00000089026	13283115	13283217	Gm25014	-1	8
ENSMUSG00000089538	46481709	46481840	Gm25161	-1	6
ENSMUSG00000092747	136609806	136609864	Gm22180	-1	4
ENSMUSG00000077704	39548745	39548854	Snord89	-1	1
ENSMUSG00000077261	106990402	106990467	Gm24431	-1	13
ENSMUSG00000064508	47719246	47719369	n-R5s96	1	8
ENSMUSG00000094952	109588592	109588680	Mir3070b	1	12
ENSMUSG00000077382	84700748	84700860	n-R5s200	-1	2
ENSMUSG00000077938	96656129	96656219	Gm24132	1	8
ENSMUSG00000065803	98506954	98507116	Gm23040	1	7
ENSMUSG00000088180	56852830	56852888	Gm22218	-1	14
ENSMUSG00000088752	69663043	69663125	Mir1934	1	11
ENSMUSG00000065132	123743297	123743403	Gm24456	-1	3
ENSMUSG00000094581	59693220	59693313	Gm26365	-1	7
ENSMUSG00000084652	90315910	90316080	Gm22717	1	9
ENSMUSG00000094750	133196640	133196749	Gm25019	1	6
ENSMUSG00000089163	79697	79797	CAAA01019125.1	-1	GL456233.1
ENSMUSG00000098696	35569953	35570120	Gm27617	1	14
ENSMUSG00000075893	12700039	12700145	Gm25538	1	12
ENSMUSG00000087804	99017364	99017463	Gm23434	1	1
ENSMUSG00000094408	130320874	130320947	Gm24072	1	6
ENSMUSG00000087862	19437687	19437815	Gm23048	1	9
ENSMUSG00000096245	110925403	110925479	Gm24269	1	9
ENSMUSG00000080518	110842383	110842458	Gm22193	-1	8
ENSMUSG00000099108	68676848	68676903	Gm27979	1	X
ENSMUSG00000098791	17907172	17907291	Gm27402	1	6
ENSMUSG00000077609	157299490	157299621	Gm25795	-1	X
ENSMUSG00000084576	89451495	89451599	Gm23655	-1	16
ENSMUSG00000088984	126860980	126861112	Gm25604	-1	4
ENSMUSG00000088719	74936061	74936151	Gm22733	-1	11
ENSMUSG00000065564	85707319	85707403	Mirlet7b	1	15
ENSMUSG00000088711	145352843	145352936	Gm22731	1	2
ENSMUSG00000064763	65667595	65667701	Gm23515	-1	8
ENSMUSG00000088976	90031307	90031574	Gm23759	1	9
ENSMUSG00000098887	20297581	20297688	Mir6413	-1	10
ENSMUSG00000065567	23291701	23291784	Mir30c-2	1	1
ENSMUSG00000089543	79244587	79244709	Gm25836	-1	4
ENSMUSG00000099129	111689601	111689674	Mir7076	-1	8
ENSMUSG00000076009	102671792	102671866	Mir688	-1	15
ENSMUSG00000064949	132310240	132310369	Snora61	1	4
ENSMUSG00000088384	38356578	38356674	Gm24690	1	18
ENSMUSG00000095529	19319686	19319795	Gm23612	1	16
ENSMUSG00000088832	65864171	65864276	Gm23543	-1	6
ENSMUSG00000094842	44865307	44865431	Gm22639	1	4
ENSMUSG00000088751	57110824	57110946	Gm24902	1	5
ENSMUSG00000098280	120538696	120538754	Mir7687	1	8
ENSMUSG00000084513	148753323	148753440	n-R5s179	-1	5
ENSMUSG00000106556	69401248	69401397	Gm44375	-1	13
ENSMUSG00000099053	96897276	96897390	Gm27792	1	13
ENSMUSG00000077230	145160477	145160621	Gm25097	1	X
ENSMUSG00000106436	120973259	120973322	Mir7015	-1	4
ENSMUSG00000094476	59351409	59351487	Gm25934	-1	7
ENSMUSG00000104657	120274487	120274624	Gm47297	1	11
ENSMUSG00000096731	50731053	50731159	Gm24316	1	14
ENSMUSG00000094214	63300280	63300383	Gm23448	-1	1
ENSMUSG00000093024	23982185	23982286	Gm25299	1	X
ENSMUSG00000094097	123557490	123557608	n-R5s111	-1	8
ENSMUSG00000065004	43743037	43743165	Gm26326	1	12
ENSMUSG00000095112	72418713	72418819	Gm23712	-1	5
ENSMUSG00000093281	5705427	5705495	Gm22565	1	8
ENSMUSG00000077668	142424795	142424902	Gm26143	1	7
ENSMUSG00000080478	15938762	15938870	Snord23	-1	7
ENSMUSG00000093912	44013852	44013977	Mir3470b	1	16
ENSMUSG00000106152	56172928	56173031	Gm44413	-1	6
ENSMUSG00000098813	97780182	97780276	Gm27326	-1	11
ENSMUSG00000064526	86437310	86437415	Gm26439	-1	11
ENSMUSG00000098300	42303362	42303469	Mir6540	-1	16
ENSMUSG00000096838	96450446	96450611	Gm26232	1	3
ENSMUSG00000088646	53418573	53418682	Gm26486	1	5
ENSMUSG00000098669	89445219	89445367	Gm27580	1	4
ENSMUSG00000064915	124410655	124410764	Gm22575	1	3
ENSMUSG00000098655	88440879	88440951	Mir7011	-1	3
ENSMUSG00000077394	15326464	15326539	Gm24339	-1	9
ENSMUSG00000065750	70855444	70855579	Gm23346	1	6
ENSMUSG00000098667	7521636	7521834	Gm27585	1	8
ENSMUSG00000089599	68053335	68053460	Gm26157	1	11
ENSMUSG00000093184	38037179	38037263	Gm25693	-1	11
ENSMUSG00000095705	85414018	85414125	Gm24828	-1	Y
ENSMUSG00000098261	96917020	96917083	Gm27521	1	4
ENSMUSG00000064394	75651423	75651529	Gm23622	-1	14
ENSMUSG00000096339	18009263	18009369	Gm24713	-1	15
ENSMUSG00000095713	59407197	59407275	Gm26466	-1	7
ENSMUSG00000096462	59806995	59807088	Gm22812	-1	7
ENSMUSG00000099006	35204475	35204557	Mir6974	-1	17
ENSMUSG00000077515	167063473	167063565	Gm25878	1	2
ENSMUSG00000095479	59776724	59776817	Gm25074	-1	7
ENSMUSG00000094551	44432595	44432701	Gm22392	1	15
ENSMUSG00000064468	38480338	38480445	Gm25081	1	2
ENSMUSG00000096504	66835764	66835842	Mir465b-2	-1	X
ENSMUSG00000076961	75757259	75757368	Gm23251	-1	7
ENSMUSG00000099248	52249299	52249475	Gm27543	1	6
ENSMUSG00000077685	56837071	56837156	Gm22498	-1	14
ENSMUSG00000065130	142772972	142773076	Gm24457	-1	3
ENSMUSG00000088363	118681821	118681950	Gm23497	1	1
ENSMUSG00000088861	11140514	11140643	Gm23065	1	11
ENSMUSG00000065122	84649496	84649659	Gm26126	1	9
ENSMUSG00000093499	35325614	35325705	Gm25442	1	3
ENSMUSG00000088955	107987369	107987496	Gm24944	1	9
ENSMUSG00000089555	21344588	21344675	Mir1933	-1	11
ENSMUSG00000077318	11134111	11134238	Gm24173	-1	1
ENSMUSG00000094013	54249102	54249208	Gm25829	-1	1
ENSMUSG00000064960	144586825	144586952	Gm24406	-1	3
ENSMUSG00000098502	60099547	60099673	Gm27511	1	11
ENSMUSG00000089039	64109635	64109737	Gm22165	1	3
ENSMUSG00000094815	62543434	62543503	Gm22615	-1	13
ENSMUSG00000088848	43902928	43903052	Gm26352	1	1
ENSMUSG00000064565	11167105	11167267	Gm24145	-1	16
ENSMUSG00000084477	140530963	140531215	Gm25780	1	6
ENSMUSG00000080465	71882557	71882693	Gm22486	-1	6
ENSMUSG00000094330	10506555	10506681	Gm22051	1	2
ENSMUSG00000098510	26935472	26935539	Mir6968	1	17
ENSMUSG00000088571	24601365	24601689	Gm25455	1	2
ENSMUSG00000088333	3783876	3783933	Gm27396	-1	1
ENSMUSG00000089613	87415255	87415349	Gm23504	-1	1
ENSMUSG00000065768	129895573	129895724	Gm23845	1	4
ENSMUSG00000088581	69594539	69594777	Gm22967	-1	17
ENSMUSG00000084549	109649617	109649688	DQ267100	1	12
ENSMUSG00000064970	181813607	181813700	Gm23690	-1	1
ENSMUSG00000088443	124142185	124142294	Gm23554	1	6
ENSMUSG00000087708	66728415	66728553	Gm23000	1	X
ENSMUSG00000087935	23110756	23110933	Snora81	1	16
ENSMUSG00000093274	18099560	18099660	Gm26235	1	18
ENSMUSG00000088829	15685935	15686046	Gm25227	-1	1
ENSMUSG00000095555	72511209	72511334	Gm28010	-1	9
ENSMUSG00000077209	64002353	64002484	Gm25608	-1	5
ENSMUSG00000065464	18327401	18327465	Mir185	-1	16
ENSMUSG00000084472	24686168	24686282	n-R5s23	-1	18
ENSMUSG00000094048	59589548	59589626	Gm26284	-1	7
ENSMUSG00000077408	89706805	89706936	Gm25415	1	14
ENSMUSG00000094031	23154734	23154865	Gm24656	1	15
ENSMUSG00000094173	61739350	61739409	Mir344h-1	-1	7
ENSMUSG00000065399	10782909	10782976	Mir133a-1	-1	18
ENSMUSG00000088889	74728403	74728509	Gm24211	1	11
ENSMUSG00000099154	3075107	3075213	Gm27306	1	2
ENSMUSG00000080358	44897865	44897982	Gm26249	1	9
ENSMUSG00000088446	78908549	78908640	Gm23556	-1	X
ENSMUSG00000088019	66561254	66561372	Gm23826	-1	12
ENSMUSG00000084674	121337692	121337959	Gm26027	1	3
ENSMUSG00000076454	127708487	127708562	Mir762	1	7
ENSMUSG00000105458	84208825	84208907	Mir3074-2	-1	8
ENSMUSG00000092675	43631425	43631557	Gm25262	1	4
ENSMUSG00000094837	59761554	59761647	Gm25471	-1	7
ENSMUSG00000088056	35144636	35144779	Gm24262	1	9
ENSMUSG00000095513	96422733	96422897	Gm24136	1	3
ENSMUSG00000088073	21270075	21270430	Gm22817	1	4
ENSMUSG00000064745	16624575	16624677	Gm24708	-1	7
ENSMUSG00000093081	25534439	25534523	Mir3075	1	14
ENSMUSG00000064494	105172496	105172602	Gm22063	1	8
ENSMUSG00000092770	41536716	41536811	Mirlet7a-2	1	9
ENSMUSG00000089199	137325559	137325614	Gm25772	1	4
ENSMUSG00000092743	84170565	84170722	Gm22177	1	7
ENSMUSG00000093306	152772788	152772889	Gm23802	-1	2
ENSMUSG00000099107	96199751	96199830	Gm27898	-1	11
ENSMUSG00000088737	66591606	66591695	Gm23899	-1	14
ENSMUSG00000099063	121819209	121819273	Mir7031	-1	5
ENSMUSG00000064664	124357238	124357323	Gm24459	1	8
ENSMUSG00000084693	10551289	10551406	Gm24894	-1	18
ENSMUSG00000077514	103586272	103586400	Gm25877	-1	4
ENSMUSG00000092697	10510791	10510892	Gm22925	1	2
ENSMUSG00000077467	111825179	111825310	Gm26421	1	2
ENSMUSG00000084607	34531714	34531823	Gm22208	1	15
ENSMUSG00000065361	30595346	30595757	1600017P15Rik	-1	3
ENSMUSG00000094659	10483966	10484055	Mir466c-2	1	2
ENSMUSG00000070175	20444811	20444912	Gm24162	-1	1
ENSMUSG00000088851	143674943	143675067	Gm24728	1	3
ENSMUSG00000094946	83795912	83796032	Gm25754	1	1
ENSMUSG00000084428	57747565	57747676	Gm25102	1	17
ENSMUSG00000087963	49684301	49684433	Gm25394	1	13
ENSMUSG00000065260	33422733	33422838	Gm23453	1	1
ENSMUSG00000098990	109541168	109541250	Gm27596	1	12
ENSMUSG00000095418	59370106	59370184	Gm23922	-1	7
ENSMUSG00000094435	67631825	67631919	Gm23617	-1	5
ENSMUSG00000096211	19560253	19560416	Gm23330	1	3
ENSMUSG00000098780	105623642	105623770	Mir6390	-1	14
ENSMUSG00000084514	6490564	6490646	Mir1893	-1	18
ENSMUSG00000089107	43872802	43872909	Gm23117	1	13
ENSMUSG00000064722	119740828	119740956	Gm25857	-1	2
ENSMUSG00000089264	127677670	127677727	Gm22889	1	2
ENSMUSG00000088194	81543235	81543342	Gm23900	-1	2
ENSMUSG00000094875	126389548	126389654	Gm23151	-1	5
ENSMUSG00000065221	153576488	153576594	Gm25793	-1	X
ENSMUSG00000104921	4078297	4078512	Gm23927	-1	19
ENSMUSG00000065006	12930774	12930880	Gm26325	1	7
ENSMUSG00000077119	66796805	66796875	Mir741	-1	X
ENSMUSG00000098441	25097066	25097175	Mir6537	-1	7
ENSMUSG00000077604	116674148	116674222	Snord1b	1	11
ENSMUSG00000094003	123586242	123586360	n-R5s128	-1	8
ENSMUSG00000093217	13653381	13653449	Gm25246	1	X
ENSMUSG00000064793	28123254	28123359	Gm24356	1	7
ENSMUSG00000065266	93251474	93251606	Gm23454	1	X
ENSMUSG00000104771	23570726	23570863	Gm44394	1	13
ENSMUSG00000065822	99482785	99482932	Snord15a	-1	7
ENSMUSG00000096431	59681055	59681148	Gm22131	-1	7
ENSMUSG00000077586	59665654	59665784	Gm24377	-1	12
ENSMUSG00000088191	27061736	27061866	Gm23903	-1	15
ENSMUSG00000070140	142654924	142654996	Mir483	-1	7
ENSMUSG00000076376	117185127	117185226	Mir674	1	2
ENSMUSG00000098786	47273519	47273589	Mir6995	-1	19
ENSMUSG00000098994	29059744	29059917	Gm27599	1	17
ENSMUSG00000095151	10496791	10496914	Gm24028	1	2
ENSMUSG00000064524	151261918	151262021	Gm26441	-1	X
ENSMUSG00000088504	89182981	89183120	Gm26490	-1	4
ENSMUSG00000065940	68952100	68952236	Gm23795	-1	7
ENSMUSG00000094563	42614226	42614346	Gm25228	-1	14
ENSMUSG00000088241	124095450	124095568	Gm22916	1	6
ENSMUSG00000088883	89667173	89667304	Gm24212	-1	8
ENSMUSG00000096561	104936651	104936757	Gm24097	1	5
ENSMUSG00000106272	4985111	4985237	Gm22897	-1	5
ENSMUSG00000092856	54213169	54213385	Gm25956	-1	7
ENSMUSG00000065254	103271550	103271870	Gm23973	1	7
ENSMUSG00000084474	43698363	43698552	Gm25783	1	17
ENSMUSG00000065380	33954235	33954341	Gm23095	1	19
ENSMUSG00000098533	102794384	102794485	Mir6373	1	6
ENSMUSG00000065692	8824011	8824147	Gm25410	-1	10
ENSMUSG00000093073	17795662	17795770	Mir124a-2	1	3
ENSMUSG00000075934	21548060	21548165	Gm24423	-1	8
